Inspection_ID,DBA_Name,AKA_Name,License,Facility_Type,Risk,Address,City,State,Zip,Inspection_Date,Inspection_Type,Results
2545939,MCDONALDS,MCDONALDS,2349545,Restaurant,Risk 2 (Medium),3241 W PETERSON AVE ,CHICAGO,IL,60659,2021,Canvass Re-Inspection,Pass
2545928,TACONAZO EL ORIGINAL #1,TACONAZO EL ORIGINAL #1,2657927,Restaurant,Risk 1 (High),4124 W NORTH AVE ,CHICAGO,IL,60639,2021,Canvass Re-Inspection,Pass
2545896,7-ELEVEN #24606,7-ELEVEN #24606,12892,Grocery Store,Risk 2 (Medium),2600 N LINCOLN AVE ,CHICAGO,IL,60614,2021,Canvass,Out of Business
2545872,THE WESTIN MICHIGAN  AVENUE,909 NORTH,2762706,Restaurant,Risk 1 (High),909 N MICHIGAN AVE ,CHICAGO,IL,60611,2021,License,Pass
2545870,SUPER TAQUERIA EL TACONAZO EL TIO,SUPER TAQUERIA EL TACONAZO EL TIO,2458442,Restaurant,Risk 1 (High),3529 W FULLERTON AVE ,CHICAGO,IL,60647,2021,Complaint,Pass
2545831,CAFE CREMERIE,CAFE CREMERIE,2775765,Restaurant,Risk 2 (Medium),615 N STATE ST ,CHICAGO,IL,60654,2021,License Re-Inspection,Pass
2545810,481725,BUYK CORP,2827177,Restaurant,Risk 3 (Low),1451 S BLUE ISLAND AVE ,CHICAGO,IL,60608,2021,License,Not Ready
2545788,LATIZI,LATIZI,2823291,Grocery Store,Risk 3 (Low),758 N CICERO AVE ,CHICAGO,IL,60644,2021,License,Pass
2545801,WOLF POINT DISTILLING,WOLF POINT DISTILLING,2817797,DISTILLERY WITH TASTING ROOM,Risk 3 (Low),215 N LAFLIN ST ,CHICAGO,IL,60607,2021,License Re-Inspection,Pass
2545785,MCDONALDS,MCDONALD'S,84425,Restaurant,Risk 2 (Medium),4038 W Belmont AVE ,CHICAGO,IL,60641,2021,Canvass Re-Inspection,Pass
2545799,WONDER MONTESSORI SCHOOL,WONDER MONTESSORI SCHOOL,2216178,Children's Services Facility,Risk 1 (High),5636 N PULASKI RD ,CHICAGO,IL,60646,2021,License,Pass
2545784,"WENDY'S PROPERTIES, LLC",WENDY'S,2405954,Restaurant,Risk 1 (High),4140 W BELMONT AVE ,CHICAGO,IL,60641,2021,Short Form Complaint,Pass
2545764,The Dark Horse Tap and Grill,The Dark Horse Tap and Grill,1144544,Restaurant,Risk 1 (High),3443 N SHEFFIELD AVE ,CHICAGO,IL,60657,2021,Canvass,Out of Business
2545750,"HAFI FOOD INC.,","HAFI FOOD INC.,",2631789,Grocery Store,Risk 3 (Low),215 E GARFIELD BLVD ,CHICAGO,IL,60637,2021,Canvass,Out of Business
2545739,GDL MEXICAN GRILL,LA  BIRRIERIA RESTAURANT,2776046,Restaurant,Risk 1 (High),4743 W GRAND AVE ,CHICAGO,IL,60639,2021,Canvass,Pass
363446,DOS PICANTES INC.,CERMAK PRODUCE,2069703,Restaurant,Risk 1 (High),5220 S PULASKI RD ,CHICAGO,IL,60632,2021,License,Fail
2545727,JEWELL EVENTS CATERING,JEWELL EVENTS CATERING,2808572,Restaurant,Risk 1 (High),1930-1932 W LAKE ST ,CHICAGO,IL,60612,2021,License,Pass
2545721,CAFE CREMERIE,CAFE CREMERIE,2775765,Restaurant,Risk 2 (Medium),615 N STATE ST ,CHICAGO,IL,60654,2021,License,Fail
2545732,DELICIAS ICE CREAM,DELICIAS ICE CREAM,2083412,Restaurant,Risk 1 (High),2813 W CERMAK RD ,CHICAGO,IL,60623,2021,Canvass,Out of Business
