ITAX,EINTEXP,EXTRA,ELNATR,STNAME,INTINC,NETINC,NONIX,NIM,YEAR,ITAXR,IGLSEC,NONII,ID
0,0,0,0,Palau,0,0,0,0,2019,0,0,0,CB_2019_
25103,23811,0,86,Alaska,259875,85359,192575,236064,2019,110254,208,66851,CB_2019_AK
687996,1965891,0,1067032,Alabama,9918405,2416555,6986693,7952514,2019,3082137,24572,3183348,CB_2019_AL
423205,1028167,0,190356,Arkansas,4996461,1623727,3179451,3968294,2019,2001673,45237,1403186,CB_2019_AR
0,0,0,0,American Samoa,0,0,0,0,2019,0,0,0,CB_2019_AS
118369,196181,0,23665,Arizona,1404749,554984,688637,1208568,2019,666807,6543,170541,CB_2019_AZ
2827622,6706771,-2015,1073171,California,30710072,7474764,20541263,24003301,2019,10071631,218938,7682764,CB_2019_CA
168906,301215,6724,43506,Colorado,2265935,778074,1525184,1964720,2019,934215,6028,538185,CB_2019_CO
252092,717614,118693,75767,Connecticut,3341998,1109807,2019364,2624384,2019,1242644,562,713391,CB_2019_CT
3109,7015,0,724,District Of Columbia,51854,8165,45724,44839,2019,11517,0,13126,CB_2019_DC
2528664,10732340,216,7268846,Delaware,47648562,11429275,26093873,36916222,2019,13893694,111648,10340191,CB_2019_DE
470390,1463423,0,100357,Florida,6205631,1851720,3319472,4742208,2019,2271945,51369,949566,CB_2019_FL
75,342,0,240,Federated States of Micronesia,7259,2667,4607,6917,2019,2742,0,672,CB_2019_FM
529448,1139565,23464,280701,Georgia,6146276,1860773,3601581,5006711,2019,2362244,4513,1237815,CB_2019_GA
6429,2250,0,9788,Guam,103257,17654,110418,101007,2019,23736,347,42935,CB_2019_GU
184726,233101,0,36546,Hawaii,1545956,588821,926623,1312855,2019,779347,-5800,429661,CB_2019_HI
163231,856889,0,97374,Iowa,3582955,1128741,2012881,2726066,2019,1268928,23044,653117,CB_2019_IA
21871,25165,0,10229,Idaho,257646,76117,161178,232481,2019,97788,200,36714,CB_2019_ID
1470938,4065902,0,635024,Illinois,16145189,5259948,12080281,12079287,2019,6584195,148380,7220213,CB_2019_IL
291530,839547,0,81423,Indiana,3994130,1307778,2422606,3154583,2019,1587475,12711,936921,CB_2019_IN
104371,574846,0,143543,Kansas,2706569,775149,1794905,2131723,2019,849620,29900,656345,CB_2019_KS
106940,475127,0,82823,Kentucky,2536732,715900,1759725,2061605,2019,818364,4476,599307,CB_2019_KY
193470,694562,0,176481,Louisiana,3516872,927632,2090366,2822310,2019,1110813,10289,555350,CB_2019_LA
677358,1455035,-4071,76336,Massachusetts,6539634,2976674,9927011,5084599,2019,3646816,11330,8565564,CB_2019_MA
154912,353515,0,46277,Maryland,1669955,471152,888808,1316440,2019,623379,2685,242024,CB_2019_MD
